room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
671660,4292037,Entire home/apt,Centro,Justicia,20,5.0,6,2.0,95.0,1.0,40.424693,-3.696031,2015-02-21 04:05:01.749
672748,3412235,Entire home/apt,Centro,Embajadores,91,5.0,4,2.0,110.0,3.0,40.408731,-3.698178,2015-02-21 05:19:09.383
673608,3419434,Private room,Puente de Vallecas,Portazgo,0,,2,1.0,37.0,5.0,40.390765,-3.643627,2015-02-21 02:07:00.376
673611,2503753,Entire home/apt,Centro,Palacio,10,4.5,6,2.0,161.0,3.0,40.414877,-3.712578,2015-02-21 02:11:10.676
674131,3422464,Entire home/apt,Centro,Embajadores,67,5.0,4,1.0,86.0,3.0,40.408583,-3.701371,2015-02-21 02:20:44.863
676566,3317937,Entire home/apt,Arganzuela,Atocha,9,5.0,4,2.0,102.0,3.0,40.401892,-3.683829,2015-02-21 04:52:25.003
677027,3441921,Entire home/apt,Salamanca,Guindalera,3,5.0,3,1.0,139.0,15.0,40.430323,-3.665976,2015-02-21 03:54:05.821
681784,3472387,Entire home/apt,Centro,Palacio,21,5.0,2,1.0,51.0,3.0,40.408494,-3.710665,2015-02-21 01:48:42.163
678413,3451933,Entire home/apt,Arganzuela,Acacias,6,3.5,4,1.0,103.0,2.0,40.404164,-3.703291,2015-02-21 00:58:54.360
678732,2417075,Entire home/apt,Chamberi,Arapiles,87,4.5,8,4.0,218.0,1.0,40.43311,-3.704908,2015-02-21 02:12:31.886
679182,3456624,Entire home/apt,Centro,Embajadores,0,,1,1.0,73.0,1.0,40.405616,-3.704555,2015-02-21 01:00:03.118
679602,3458929,Entire home/apt,Centro,Universidad,34,5.0,4,1.0,79.0,2.0,40.426891,-3.707665,2015-02-21 04:11:24.143
679643,735503,Private room,Centro,Embajadores,78,5.0,2,1.0,44.0,1.0,40.411784,-3.70385,2015-02-21 04:58:41.875
682651,845399,Private room,Centro,Universidad,20,4.0,7,1.0,32.0,1.0,40.422278,-3.704217,2015-02-21 03:44:55.644
